specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,snMedian_g
488673301665703936,434,51885,119,118.06365,42.249827,0.04154307,93.27818,17.75634,24.81091,98.9289,4.236965,2.725617,3.305911,4.599729,40.03245
1969246547266791424,1749,53357,173,161.9138,13.336127,0.03606816,3673.269,1122.382,1908.705,577.8633,22.30405,8.843272,14.15564,4.923454,41.59095
2075065203292137472,1843,53816,115,223.51558,30.846249,0.03198267,2406.694,668.8507,472.7678,1033.228,18.37124,8.2176,7.946283,9.958794,41.06394
2087455045875427328,1854,53566,133,246.85097,19.597196,0.008124122,235.927,78.75883,151.4102,250.981,13.61166,8.238578,11.30373,15.64519,41.60009
872685166248617984,775,52295,410,169.85782,62.483932,0.01082554,5745.364,1461.345,1267.279,1467.125,47.17968,15.67808,16.21635,14.2294,44.85224
320977163341817856,285,51930,348,178.55114,0.13659107,0.003787203,13171.2,3685.008,2402.944,3451.395,76.75196,30.29843,24.65374,23.88097,62.62057
2169752112714508288,1927,53321,520,125.92268,21.434882,0.01712042,211.2329,59.19977,92.9495,327.9452,10.5331,6.846817,8.163713,11.63258,52.99836
988585787417192448,878,52353,166,169.38872,51.271592,0.02762851,289.6452,48.0264,85.76681,355.5422,9.596355,5.656216,7.132477,10.39285,40.32787
1033710844988385280,918,52404,490,217.04177,-1.6768452,0.03048438,4107.485,1020.533,1522.805,825.7416,28.34753,11.00114,15.70481,9.039816,41.75922
1049354150296446976,932,52620,56,127.37499,31.675464,0.0182753,1424.602,378.2467,237.8362,1030.707,19.72264,9.673588,10.00151,17.22043,40.63739
2366709842942388224,2102,54115,248,201.5381,35.934427,0.01869968,5146.56,720.7388,211.3408,2770.666,40.60478,10.60166,8.683897,24.86608,42.19746
2376879215116052480,2111,53467,380,169.09245,35.612402,0.02689436,136.6208,65.82576,58.93805,135.8701,12.77046,8.586015,7.878466,11.59498,40.15852
621515198817134592,552,51992,67,136.79626,50.712758,0.03749743,139.2496,38.93745,82.0985,221.4858,6.822361,4.714301,5.571841,7.593648,50.92255
621595463165962240,552,51992,359,134.54499,52.182833,0.03134055,198.7292,37.23289,89.08842,332.4998,9.244511,5.543181,6.358849,9.370063,64.35029
1432293440598599680,1272,52989,541,136.9602,33.468133,0.02634611,287.9997,67.11811,45.82301,200.7984,8.212337,5.159817,5.227215,7.591055,47.32158
751085500193859584,667,52163,401,32.244491,-7.7667808,0.01286314,214.1108,91.96197,101.2632,104.1592,14.25227,9.455522,10.76644,13.45788,46.13631
1120352641621190656,995,52731,299,149.29789,5.201324,0.02156238,58.20346,31.65729,125.7614,81.42362,3.175152,3.548462,6.42898,4.89149,43.5143
2491718812043339776,2213,53792,372,167.35751,29.569247,0.03486365,189.5407,41.92478,56.14773,370.7054,14.45561,7.917876,10.51388,17.24344,44.33476
2509790110799652864,2229,53823,579,183.62396,28.423448,0.01316277,442.924,167.7435,99.90306,315.2292,26.18897,17.14167,17.84201,27.70181,52.84251
2921747987111634944,2595,54207,137,180.86387,16.485717,0.0134834,3514.546,883.1303,188.0637,1512.794,36.42399,15.75114,12.04688,22.4091,43.90207
2523306138166913024,2241,54169,598,195.50057,27.782728,0.02374067,117.6491,43.39046,253.7464,253.228,5.44602,4.037429,7.799125,7.074332,43.32277
1792572339834087424,1592,52990,508,140.15389,33.074724,0.02153513,1393.726,273.2791,322.9424,952.0886,11.93839,5.200813,6.414264,9.830392,45.90212
3087346808196720640,2742,54233,470,206.93859,16.973132,0.04020276,170.908,52.2738,86.70879,269.4178,11.26226,6.995248,7.558463,11.18104,40.57784
327725690801645568,291,51928,323,190.11287,1.1969253,0.006215455,249.5112,55.05654,176.955,133.6092,10.04849,6.261361,10.34216,12.02091,57.20148
549540891476387840,488,51914,370,153.19413,65.272602,0.03562664,331.4339,57.48275,31.79686,142.6109,6.487051,3.783696,4.288052,5.696779,41.64342
488769783811041280,434,51885,470,117.41249,42.967067,0.03072134,132.2149,37.42976,50.62443,116.9346,4.919664,3.364293,3.85932,4.991438,54.60735
506815793665697792,450,51908,585,138.06651,55.692702,0.03114314,92.99428,20.32749,45.54643,103.2991,5.231034,3.555561,4.188739,5.343668,56.52575
914363529845303296,812,52352,483,237.92089,49.3784,0.03464015,4075.795,942.5361,243.3211,1848.884,34.49286,13.06738,9.806078,19.06944,40.23678
443758801896630272,394,51913,561,13.469751,0.97960817,0.04201467,149.1404,54.687,85.03702,150.8927,4.543703,3.352904,3.353854,4.106205,64.65902
443763199943141376,394,51913,577,13.354576,0.73750739,0.0675351,39.5629,11.15251,25.18576,42.805,2.609937,2.100574,2.308312,2.458429,41.20616
2169715553952884736,1927,53321,387,124.79478,21.435782,0.0161257,329.5918,106.1967,105.8863,428.9391,16.68064,10.04088,10.68658,17.48588,52.68586
960535596877506560,853,52374,520,204.05076,4.7400901,0.03428934,581.9186,152.5538,298.3256,664.0901,15.59973,9.302724,12.07237,16.12676,40.95461
1024703370402752512,910,52377,489,202.52561,-1.720622,0.0143451,482.8284,112.7672,92.90167,488.6393,10.69371,5.905461,7.545059,11.96122,42.87197
646392480119416832,574,52355,458,153.99977,4.9547906,0.03203029,4758.372,1152.151,603.2176,1714.037,37.98169,11.23137,9.77308,14.98945,46.62594
2248496938502612992,1997,53442,272,175.40801,37.992122,0.02207175,3996.425,953.8058,186.5761,1792.783,29.6949,10.90772,6.593705,13.90315,40.46612
1089977253162412032,968,52412,386,177.80597,50.1569,0.00310283,676.93,192.1399,616.2593,230.3844,10.04337,5.992562,9.473064,7.478647,50.65635
2991562307500271616,2657,54502,168,183.88228,24.72854,0.02281325,84.8021,20.74319,58.03428,137.0748,5.877029,3.865094,5.41664,7.019921,40.82707
1341019676557207552,1191,52674,265,134.71029,6.2929961,0.0127828,11551.39,2923.707,474.108,5544.387,90.17013,33.38526,18.33411,45.72739,44.76043
2797986408013260800,2485,54176,455,164.87768,18.852178,0.02012099,104.926,35.97429,59.41792,83.23093,7.150793,4.830225,5.758434,7.167124,41.89257
2801239312711051264,2488,54149,1,166.66859,20.085556,0.004018013,446.0435,155.6001,253.2187,109.0534,19.25169,11.83371,15.32682,16.3629,43.64215
383973403150804992,341,51690,151,200.60886,-2.4182707,0.02319018,3593.997,809.8279,124.5564,1491.908,27.80362,11.03908,7.466159,15.15351,43.7429
392990498161190912,349,51699,187,253.88911,63.242126,0.02254779,1766.253,599.9487,937.1672,326.4864,10.78336,4.775586,6.487122,2.819829,49.55614
474121539076253696,421,51821,428,14.917142,15.330978,0.0182923,1626.058,361.6836,3190.005,3140.456,28.27699,14.29919,32.17569,33.25869,40.56299
480904427633403904,427,51900,528,30.957469,14.739165,0.01209331,395.4808,109.4587,168.3746,262.1568,15.94549,8.809713,11.40574,16.60967,56.64023
555123662487840768,493,51957,200,181.94843,67.383789,0.007757276,5943.818,1459.279,2068.018,2443.335,44.6895,15.96255,21.60298,21.38391,43.48849
551792141785917440,490,51929,368,163.69099,67.238803,0.0333323,110.031,29.01519,51.52697,130.1001,4.439843,3.084471,3.938634,5.001852,41.56484
673306325089806336,598,52316,66,180.65446,64.376464,0.005004815,13448.1,3205.989,3080.588,3111.568,100.0445,30.99526,32.81079,27.84476,41.48501
600252293236942848,533,51994,537,213.71395,3.130926,0.02527736,805.1729,185.4991,370.8294,1017.009,26.42174,13.90043,15.85544,25.84062,44.36142
