plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
279,51984,307,0.1014277,168.09941,-0.40184307,244.7376,70.34492,61.26222,88.24672,14.96056,56.97874,42.12502,-29.53617
279,51984,415,0.07685738,168.85763,0.63545411,35.0241,10.61059,20.64977,37.24786,2.372876,6.45948,7.052843,-4.266037
279,51984,477,0.03890612,168.95761,-0.054606607,324.923,97.74961,71.79507,87.93719,12.4857,74.3716,50.88176,-40.12329
279,51984,597,0.2102811,169.98982,0.25114498,102.0201,21.90651,3.435436,42.04812,10.4992,13.70202,8.207433,-10.544
279,51984,608,0.03987979,169.86165,0.96809804,113.8821,38.12704,72.84413,140.8394,4.086612,51.02234,39.54609,-1.674436
280,51612,40,0.06919836,171.72114,0.27329101,65.7377,19.07003,5.085721,22.57203,2.326463,15.06386,9.975449,-9.506403
280,51612,56,0.07745796,170.99929,-1.1525766,21.10617,4.347652,13.33457,18.6282,0.8264341,10.74718,11.56193,-0.9458897
280,51612,187,0.1004738,170.36352,-0.29880776,140.1163,36.31486,291.3699,88.65258,9.973713,41.40769,35.81024,-8.221584
280,51612,192,0.09905367,170.43819,-0.022514281,2612.803,892.673,4734.78,102.485,58.51193,174.5307,127.8058,-302.6082
280,51612,282,0.05837996,169.74005,-0.92381908,301.6282,83.95226,94.73071,59.60994,6.85539,59.31353,39.66637,-37.14098
280,51612,416,0.103521,170.45989,0.99639448,183.386,37.87602,9.087697,102.738,5.347414,19.32062,20.24579,-12.41572
280,51612,421,0.1064283,170.44665,0.78160225,13.62928,4.646115,11.32937,19.44982,4.234785,4.389077,4.656092,-0.8588786
280,51612,511,0.1457191,170.87638,0.31880246,127.7971,33.15305,6.047527,43.24342,2.612235,15.43211,11.01611,-19.40409
280,51612,538,0.09833132,170.84607,0.96285152,154.1338,36.40092,9.760061,65.6413,2.678413,23.28425,20.11245,-13.13303
280,51612,544,0.0592375,171.15718,0.57827995,66.7442,13.81607,5.264018,21.85014,0.9217237,12.05755,9.042969,-11.2647
280,51612,577,0.1003641,170.89992,0.98405726,154.6146,29.12659,10.50371,55.54377,3.822685,26.97608,15.19355,-15.4459
281,51614,105,0.1299565,172.21912,0.091976951,23.77791,7.699619,4.732272,22.88488,3.817201,6.208444,1.168868,-1.852157
281,51614,141,0.1048234,172.04537,-0.49287887,217.2501,51.02298,17.93982,86.1578,6.414101,40.45084,26.63272,-21.65001
281,51614,567,0.05845807,172.47255,1.2208948,162.7554,47.14691,25.67246,48.99546,5.435016,34.87621,25.26595,-23.44566
282,51658,97,0.04642929,174.076,-0.88958116,139.2573,39.68949,17.59698,45.66195,3.926239,32.9515,26.87482,-20.46876
282,51658,106,0.07642176,174.49025,-0.30123502,155.2379,42.48298,24.474,41.7939,7.168814,39.89604,26.78563,-24.81763
282,51658,260,0.04632961,173.09881,-1.2289955,45.82518,13.84212,5.400715,12.81795,1.627226,10.62816,7.677414,-10.45063
282,51658,283,0.07770094,172.55263,-0.96902148,267.2882,59.07181,15.24984,99.79796,9.351772,35.91474,33.56096,-22.71817
282,51658,332,0.1042957,172.70768,0.89632595,132.7812,38.80044,211.8769,127.4407,24.10474,68.4599,63.05207,-12.75833
282,51658,394,0.1398638,173.01768,0.016784281,88.54043,10.08395,6.69365,40.61404,1.816978,9.070161,9.507565,-8.632559
282,51658,542,0.1056802,174.09558,0.34483031,16.90656,4.480603,16.94191,7.946385,2.311017,7.182536,5.0236,-0.9238517
