#Table1
plate,mjd,fiberid,z,ra,dec,h_beta_flux,h_beta_eqw,oiii_5007_flux,h_gamma_flux,ratio_oiii_hbeta,ratio_hbeta_hgamma,ratio_oiii_hgamma,approx_ebv_sfd,fwhm_hbeta_kms
2483,53852,584,0.08480573,164.00169,16.940602,194.8416,-7.928174,88.28641,65.86027,0.4531188,2.95841,1.340511,0.02565281,1177.41002251547
2570,54081,625,0.2364598,123.34876,8.4199826,150.5112,-10.16536,170.4702,61.07188,1.132608,2.464493,2.791305,0.01747425,1177.41002251547
426,51882,97,0.2433957,24.747247,13.352268,341.3822,-21.07694,470.7984,163.3224,1.379095,2.090235,2.882632,0.04720406,1177.41002251547
597,52059,195,0.2095182,173.09759,64.332895,620.0106,-19.55523,265.1651,314.1074,0.4276783,1.973881,0.8441861,0.01142572,1177.41002251547
434,51885,480,0.1811307,117.17848,42.734617,164.1134,-11.21769,88.34329,90.48518,0.5383065,1.813704,0.9763288,0.05198954,1177.41002251547
517,52024,591,0.2384808,182.43674,2.536861,847.1398,-20.93431,1854.345,392.2538,2.188948,2.159673,4.727411,0.01547253,1177.41002251547
542,51993,560,0.1322984,117.45109,34.91223,1274.526,-15.90344,445.8352,641.8747,0.3498048,1.98563,0.6945829,0.04412817,1177.41002251547
1175,52791,31,0.1218863,253.64935,33.04761,789.8476,-5.785232,796.9388,573.9165,1.008978,1.376241,1.388597,0.02503912,1177.41002251547
393,51794,90,0.1376009,11.389444,-0.9691345,265.0059,-22.65379,483.4826,117.2763,1.824422,2.259671,4.122595,0.01631883,1038.03037420316
388,51793,408,0.1138184,1.5625809,1.1915758,261.5695,-10.38623,317.0629,94.1391,1.212155,2.778543,3.368025,0.02576006,1177.41002251547
833,52314,615,0.2399645,142.2908,46.740018,1138.498,-8.113574,436.7917,633.1625,0.3836562,1.798113,0.6898571,0.0152719,1177.41002251547
830,52293,375,0.1373876,133.14086,42.429196,460.6589,-15.88727,438.1047,246.3837,0.9510393,1.869681,1.77814,0.02296352,1177.41002251547
892,52378,556,0.178664,123.28111,36.244922,482.8683,-16.37965,900.9956,271.1381,1.865924,1.780894,3.323013,0.05966462,1177.41002251547
860,52319,10,0.2847536,121.2493,29.039506,121.0225,-11.13062,73.75885,56.48873,0.6094641,2.142418,1.305727,0.05012933,1177.41002251547
879,52365,324,0.2967267,170.23596,52.242676,168.5128,-11.39821,148.3664,70.10128,0.8804457,2.403848,2.116457,0.01410717,1177.41002251547
940,52670,374,0.1306972,144.26107,42.80834,397.9563,-11.65733,316.7885,173.4919,0.7960385,2.293803,1.825956,0.01203592,1177.41002251547
1332,52781,53,0.2289108,234.0838,45.424843,258.9731,-16.36909,704.8506,106.7315,2.721714,2.426399,6.603963,0.01122723,1177.41002251547
1211,52964,372,0.2929189,134.15204,35.434532,231.1328,-28.5412,140.2931,93.32065,0.6069804,2.47676,1.503345,0.0259761,1177.41002251547
1307,52999,494,0.2262018,150.14118,10.78992,3072.159,-27.86109,1409.089,1355.059,0.458664,2.267178,1.039873,0.02447635,1177.41002251547
1597,52999,382,0.1629738,152.95451,11.222931,295.8974,-14.26006,153.6219,134.0294,0.5191728,2.207705,1.146181,0.04221151,1177.41002251547
1455,53089,139,0.1520209,191.02563,46.516528,269.7027,-15.25779,957.7527,125.709,3.551142,2.145452,7.618805,0.01458816,1177.41002251547
1396,53112,538,0.2031938,219.32161,43.039575,363.8066,-38.08169,156.9061,126.5973,0.4312897,2.873731,1.239411,0.0130801,1172.55902710838
1313,52790,519,0.2613972,180.28663,57.201488,237.114,-9.482341,174.2408,127.0706,0.7348398,1.866002,1.371212,0.02045473,1177.41002251547
1398,53146,482,0.2308415,225.31025,39.657718,598.3192,-16.45215,148.3569,270.2574,0.2479561,2.213886,0.5489466,0.009373341,1177.41002251547
1365,53062,532,0.243887,171.02235,44.346638,253.5846,-11.44716,196.8222,121.1508,0.7761601,2.093132,1.624606,0.01374101,1177.41002251547
1367,53083,494,0.219264,175.48498,44.787958,412.3087,-13.04011,80.7283,211.3542,0.1957958,1.950795,0.3819574,0.0186235,1177.41002251547
1464,53091,415,0.2252122,203.43947,41.691037,359.2988,-10.51487,1168.537,190.6626,3.252272,1.884474,6.128822,0.006938536,1177.41002251547
1814,54555,125,0.1622115,223.20543,7.4102721,1256.502,-20.67451,1377.048,605.298,1.095937,2.07584,2.274992,0.02315304,1177.41002251547
1578,53496,631,0.168826,242.18448,29.152499,967.1373,-30.49014,319.318,422.1833,0.3301682,2.290799,0.7563492,0.03111004,1177.41002251547
1574,53476,445,0.2462993,246.26616,26.306605,222.6505,-17.11588,546.1763,91.95136,2.453065,2.421395,5.939839,0.04578953,1177.41002251547
1401,53144,238,0.1533854,232.59458,35.600446,572.2645,-13.42714,253.8942,303.2173,0.4436659,1.887308,0.8373342,0.02096345,1177.41002251547
1386,53116,631,0.2376389,230.46438,33.565534,149.4446,-15.07279,78.1495,75.16657,0.5229329,1.988179,1.039684,0.02131356,1152.99924561862
1567,53172,491,0.17693,254.593,18.626438,421.4136,-7.349143,1043.868,157.2062,2.477063,2.680642,6.640121,0.07342387,1177.41002251547
1788,54468,617,0.2849966,147.69462,65.322839,297.222,-22.20586,229.9113,140.6256,0.7735336,2.11357,1.634918,0.08554062,1177.41002251547
1996,53436,298,0.2319869,170.3215,39.060012,570.7372,-23.20688,222.4988,264.7216,0.3898446,2.15599,0.8405012,0.02162216,1177.41002251547
2519,54570,574,0.182392,238.35335,14.476054,380.5802,-19.15257,138.5244,159.3463,0.3639822,2.388385,0.8693297,0.03375494,1177.41002251547
2778,54539,572,0.2681316,224.7072,19.175979,163.4199,-9.799479,134.9105,67.48736,0.8255449,2.42149,1.999048,0.0300214,1177.41002251547
2791,54556,5,0.2550368,225.61673,19.049289,263.2982,-20.12351,220.9768,131.1094,0.8392642,2.008234,1.685439,0.03912284,1177.41002251547
2230,53799,566,0.2999808,184.33924,30.941899,303.9495,-5.193429,249.5606,218.879,0.8210592,1.388664,1.140176,0.01417766,1177.41002251547
2347,53757,25,0.2447021,153.70394,25.671096,268.9018,-18.31138,154.3751,106.1331,0.5740947,2.533628,1.454543,0.02628458,1177.41002251547
